customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
0106-GHRQR,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,No
5318-IXUZF,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes
3768-VHXQO,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
8952-WCVCD,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No
2418-TPEUN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3963-RYFNS,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No
3198-VELRD,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes
8540-ZQGEA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1320-REHCS,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No
4137-JOPHL,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,No
9436-ZBZCT,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Yes
7801-CEDNV,Yes,No,DSL,Yes,No,No,No,No,No,No
2057-BOYKM,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,No
3658-QQJYD,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,No
1803-BGNBD,Yes,No,DSL,No,Yes,No,Yes,No,No,No
0134-XWXCE,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,No
6950-TWMYB,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,No
5848-FHRFC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2243-FNMMI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2511-MORQY,Yes,Yes,DSL,No,No,Yes,No,No,No,No
5356-KZCKT,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
9470-XCCEM,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No
6519-CFDBX,Yes,No,DSL,No,No,No,No,No,No,No
3902-MIVLE,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No
0409-WTMPL,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No
8763-KIAFH,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3669-WHAFY,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No
3055-VTCGS,Yes,No,DSL,No,No,Yes,No,No,Yes,No
3144-KMTWZ,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,No
7279-BUYWN,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes
7156-MHUGY,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes
7198-GLXTC,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes
2007-QVGAW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5207-PLSTK,Yes,No,DSL,Yes,No,No,No,No,No,No
2307-FYNNL,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No
5605-XNWEN,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2155-AMQRX,Yes,Yes,DSL,No,No,No,Yes,No,No,No
6181-AXXYF,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5091-HFAZW,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,No
0516-VRYBW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2519-LBNQL,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No
8623-ULFNQ,Yes,Yes,DSL,No,No,No,Yes,No,Yes,No
8380-PEFPE,Yes,No,Fiber optic,No,No,No,No,No,No,Yes
5687-DKDTV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
1568-LJSZU,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
7530-HDYDS,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Yes
7789-HKSBS,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No
7416-CKTEP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2586-CWXVV,No,No phone service,DSL,No,Yes,No,No,No,No,No
3096-IZETN,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes
2348-KCJLT,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No
8401-EMUWF,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,No
4193-IBKSW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5377-NDTOU,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
5922-ABDVO,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Yes
2474-LCNUE,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,No
0839-QNXME,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3506-OVLKD,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
9172-ANCRX,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes
6650-VJONK,Yes,No,DSL,No,No,No,No,No,No,No
2178-PMGCJ,Yes,No,Fiber optic,No,No,No,No,No,No,No
7492-TAFJD,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,No
2773-MADBQ,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,No
6016-LVTJQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7860-KSUGX,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,No
8966-KZXXA,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
6910-HADCM,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes
4816-LXZYW,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes
9606-PBKBQ,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes
5149-QYTTU,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,No
2070-XYMFH,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,No
2085-BOJKI,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No
0817-HSUSE,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,No
5442-PPTJY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1927-QEWMY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1663-MHLHE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5663-QBGIS,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,No
4450-MDZFX,Yes,Yes,Fiber optic,No,No,No,No,No,No,No
6701-DHKWQ,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,No
7554-AKDQF,Yes,No,DSL,No,No,No,No,No,No,No
3536-IQCTX,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes
4911-BANWH,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes
8496-EJAUI,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes
0794-YVSGE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5423-BHIXO,Yes,Yes,DSL,No,Yes,No,No,No,No,No
6908-VVYHM,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,No
2959-EEXWB,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,No
1839-UMACK,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3030-YDNRM,Yes,Yes,Fiber optic,No,No,No,No,No,No,No
7321-KKSDU,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3402-XRIUO,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No
3132-TVFDZ,No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes
8286-AFUYI,Yes,No,DSL,Yes,No,No,No,No,No,No
8080-DDEMJ,Yes,No,DSL,No,No,No,No,No,No,Yes
8356-WUAOJ,Yes,No,DSL,No,No,No,No,No,No,No
6365-MTGZX,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes
1349-WXNGG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
8058-DMYRU,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,No
9350-ZXYJC,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
6990-YNRIO,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes
8958-JPTRR,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
6959-GQEGV,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,No
3173-WSSUE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1265-HVPZB,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,No
4115-UMJFQ,No,No phone service,DSL,No,Yes,Yes,No,No,No,No
7369-TRPFD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1098-KFQEC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7190-XHTWJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0621-TWIEM,Yes,No,DSL,No,No,No,No,No,No,Yes
3537-RYBHH,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,No
2485-ITVKB,No,No phone service,DSL,No,No,No,No,No,Yes,Yes
3669-OYSJI,Yes,No,DSL,No,No,No,No,No,No,Yes
1612-EOHDH,Yes,No,DSL,No,No,No,No,No,No,Yes
6702-OHFWR,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Yes
5296-BFCYD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
4510-PYUSH,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes
9359-JANWS,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No
7517-SAWMO,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes
4143-HHPMK,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Yes
3279-DYZQM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7054-LGEQW,Yes,No,DSL,No,No,No,No,No,No,Yes
0523-VNGTF,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,No
9575-IWCAZ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7105-MXJLL,Yes,No,DSL,No,No,Yes,No,No,Yes,No
7064-FRRSW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,No
7940-UQQUG,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,No
0923-PNFUB,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes
3961-SXAXY,Yes,No,DSL,No,No,No,No,No,No,No
7010-BRBUU,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3566-HJGPK,Yes,No,DSL,No,No,No,No,No,No,No
3062-ICYZQ,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,No
9938-PRCVK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0973-KYVNF,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,No
5129-HHMZC,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No
9637-CDTKZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No
3946-JEWRQ,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No
7873-CVMAW,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
0463-WZZKO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3494-JCHRQ,Yes,No,Fiber optic,No,No,No,No,No,No,Yes
6474-FVJLC,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes
4524-QCSSM,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,No
5832-EXGTT,Yes,No,DSL,Yes,No,No,No,No,Yes,No
8840-DQLGN,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes
2039-JONDJ,Yes,No,DSL,Yes,Yes,No,No,No,No,No
7217-JYHOQ,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,No
6695-FRVEC,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No
4547-LYTDD,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes
9894-QMIMJ,Yes,No,DSL,No,Yes,Yes,No,No,No,No
8069-YQQAJ,No,No phone service,DSL,No,Yes,No,No,No,No,No
6770-XUAGN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
4193-ORFCL,Yes,No,DSL,No,No,No,No,No,No,Yes
1636-NTNCO,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,No
3466-WAESX,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,No
9281-PKKZE,No,No phone service,DSL,No,No,No,No,Yes,Yes,No
3638-VBZTA,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No
7459-IMVYU,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No
7776-QWNFX,Yes,No,DSL,No,Yes,No,No,No,No,Yes
6689-TCZHQ,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes
8563-OYMQY,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,No
0754-EEBDC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5777-ZPQNC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1951-IEYXM,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
3318-NMQXL,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,No
3143-ILDAL,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Yes
1022-RKXDR,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2361-FJWNO,No,No phone service,DSL,No,Yes,No,Yes,No,No,No
2272-UOINI,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,No
8232-UTFOZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3750-YHRYO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
6637-KYRCV,No,No phone service,DSL,No,Yes,No,No,No,No,No
5668-MEISB,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No
0129-QMPDR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7188-CBBBA,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,No
5356-CSVSQ,Yes,Yes,DSL,No,No,No,Yes,Yes,No,No
3221-CJMSG,Yes,No,DSL,No,No,No,Yes,No,No,No
4720-VSTSI,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes
3219-JQRSL,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
2801-NISEI,Yes,No,DSL,Yes,No,No,Yes,No,No,No
3946-MHCZW,Yes,No,DSL,No,No,Yes,No,No,No,Yes
4623-ZKHLY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
6732-VAILE,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,No
8201-AAXCB,Yes,Yes,DSL,No,No,No,No,Yes,No,No
7696-CFTAT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1845-CSBRZ,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,No
2123-VSCOT,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,No
6651-AZVTJ,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes
4566-GOLUK,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes
2484-DGXPZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
2018-QKYGT,Yes,No,Fiber optic,No,No,No,No,No,Yes,No
2792-VPPET,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7409-JURKQ,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No
3247-MHJKM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1964-SVLEA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
4587-NUKOX,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Yes
7297-DVYGA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2239-CGBUZ,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No
0854-UYHZD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7243-LCGGZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
8267-KFGYD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
4890-VMUAV,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No
9261-WDCAF,Yes,No,DSL,No,No,No,No,No,Yes,No
3764-MNMOI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7442-YGZFK,Yes,Yes,DSL,No,No,No,No,No,No,No
0420-BWTPW,No,No phone service,DSL,No,No,No,No,No,No,Yes
8229-BUJHX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7449-HVPIV,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,No
5504-WSIUR,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,No
8183-ONMXC,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes
8466-PZBLH,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,No
9614-RMGHA,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes
8735-IJJEG,Yes,No,DSL,No,No,Yes,No,No,No,No
0564-MUUQK,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,No
5054-IEXZT,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes
5834-ASPWA,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes
0701-RFGFI,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No
0019-EFAEP,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,No
5619-PTMIK,Yes,Yes,DSL,Yes,No,No,No,No,No,No
3737-XBQDD,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,No
5882-CMAZQ,No,No phone service,DSL,No,Yes,No,Yes,No,No,No
5846-QFDFI,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,No
4445-KWOKW,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No
3511-APPBJ,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,No
7967-HYCDE,Yes,No,Fiber optic,No,No,No,No,No,No,No
2430-RRYUW,Yes,No,DSL,Yes,Yes,No,No,No,No,No
3948-XHGNA,Yes,No,DSL,Yes,No,No,No,No,No,Yes
3723-BFBGR,Yes,Yes,DSL,No,Yes,No,No,No,No,No
0565-IYCGT,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes
5447-WZAFP,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,No
5110-CHOPY,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,No
5445-UTODQ,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes
4425-OWHWB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7892-QVYKW,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,No
9675-ICXCT,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,No
1024-VRZHF,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes
4703-MQYKT,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
9497-QCMMS,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes
5692-ICXLW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No
0602-DDUML,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,No
2208-MPXIO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1960-UYCNN,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,No
0348-SDKOL,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes
3190-FZATL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7336-RLLRH,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No
4373-MAVJG,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes
8901-HJXTF,No,No phone service,DSL,No,Yes,No,No,No,No,Yes
7710-JSYOA,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,No
5419-KLXBN,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes
3424-NMNBO,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes
9885-MFVSU,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,No
4514-GFCFI,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes
0607-MVMGC,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No
3365-SAIGS,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,No
9828-AOQLM,Yes,No,DSL,No,No,No,No,No,No,Yes
8022-BECSI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
8000-REIQB,Yes,No,Fiber optic,No,No,No,No,No,No,Yes
9993-LHIEB,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,No
0266-CLZKZ,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,No
7615-ESMYF,No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes
3858-VOBET,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes
7020-OZKXZ,Yes,No,Fiber optic,No,No,Yes,No,No,No,No
3977-QCRSL,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0017-DINOC,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,No
1447-PJGGA,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes
8565-CLBZW,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Yes
9139-WQQDY,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes
0224-HJAPT,Yes,Yes,DSL,No,No,No,No,No,No,Yes
8086-OVPWV,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes
9430-FRQOC,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Yes
7639-OPLNG,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No
3074-GQWYX,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes
1492-QGCLU,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,No
6845-RGTYS,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes
7328-OWMOM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
4418-LZMSV,Yes,No,DSL,No,Yes,Yes,Yes,No,No,No
5155-AZQPB,Yes,Yes,DSL,No,No,No,No,No,No,No
8861-HGGKB,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes
1087-GRUYI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7065-YUNRY,Yes,No,DSL,No,No,No,No,No,No,Yes
7694-VLBWQ,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes
2546-KZAAT,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,No
0181-RITDD,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No
5989-PGKJB,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,No
4795-KTRTH,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes
8272-ONJLV,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No
1488-PBLJN,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No
0308-GIQJT,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,No
3778-FOAQW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
4452-ROHMO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
6481-OGDOO,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Yes
3090-LETTY,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No
5349-AZPEW,No,No phone service,DSL,No,No,No,No,No,No,No
3753-TSEMP,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes
8305-VHZBZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
9720-JJJOR,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No
8100-HZZLJ,Yes,No,DSL,Yes,Yes,No,No,No,Yes,No
8775-ERLNB,Yes,Yes,Fiber optic,No,No,No,No,No,No,No
8309-IEYJD,Yes,No,Fiber optic,No,No,No,No,No,No,No
9172-JITSM,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes
6298-QDFNH,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes
7398-HPYZQ,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
3546-GHEAE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7361-YPXFS,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,No
6557-BZXLQ,Yes,No,Fiber optic,No,No,No,No,No,No,No
2550-QHZGP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7519-JTWQH,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No
2538-OIMXF,No,No phone service,DSL,No,No,No,No,No,No,No
8543-MSDMF,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,No
9961-JBNMK,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes
1170-SASML,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,No
4872-JCVCA,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,No
5346-BZCHP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2038-LLMLM,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,No
6173-ITPWD,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Yes
9734-UYXQI,Yes,Yes,DSL,No,No,No,No,No,No,Yes
1216-BGTSP,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No
4138-NAXED,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,No
2189-UXTKY,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes
0744-BIKKF,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
7483-IQWIB,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,No
5248-KWLAR,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
4958-GZWIY,Yes,No,DSL,No,No,Yes,No,No,No,Yes
7996-MHXLW,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
